unique-port,packetsIn,packetsOut,bytesIn,bytesOut
53,2,2,56,164
67,0,3,0,858
68,3,0,858,0
443,190,277,32974,197804
4131,1,1,60,28
5049,1,1,104,28
5353,78,78,9364,9364
9999,3,0,87,0
19302,91,91,1820,2912
50020,0,3,0,108
50021,0,3,0,87
51705,2,0,2400,0
53099,258,171,186506,24466
53143,91,91,2912,1820
56700,3,0,108,0
59503,0,2,0,2400
62361,9,9,6432,5258
62786,10,10,4866,3250
